time,open,high,low,close,volume,spread
2026-03-23 00:00:00,3125.0,3125.31,3124.82,3125.11,30,25.5
2026-03-23 00:01:00,3125.11,3125.56,3124.34,3124.95,73,27.7
2026-03-23 00:02:00,3124.95,3124.96,3124.8,3124.86,107,26.4
2026-03-23 00:03:00,3124.86,3125.03,3124.81,3124.99,59,26.3
2026-03-23 00:04:00,3124.99,3125.2,3124.71,3124.79,29,26.4
2026-03-23 00:05:00,3124.79,3124.81,3124.7,3124.72,116,24.0
2026-03-23 00:06:00,3124.72,3124.76,3124.43,3124.47,96,26.6
2026-03-23 00:07:00,3124.47,3124.79,3124.43,3124.69,42,27.5
2026-03-23 00:08:00,3124.69,3124.92,3124.63,3124.77,33,20.9
2026-03-23 00:09:00,3124.77,3124.84,3124.73,3124.81,1160,26.0
2026-03-23 00:10:00,3124.81,3125.11,3124.74,3125.01,45,21.1
2026-03-23 00:11:00,3125.01,3125.09,3124.67,3124.86,47,29.5
2026-03-23 00:12:00,3124.86,3124.89,3124.6,3124.67,45,21.1
2026-03-23 00:13:00,3124.67,3124.67,3124.42,3124.48,27,27.8
2026-03-23 00:14:00,3124.48,3124.8,3124.42,3124.77,35,23.6
2026-03-23 00:15:00,3124.77,3124.78,3124.74,3124.76,41,24.9
2026-03-23 00:16:00,3124.76,3125.04,3124.63,3124.86,121,29.5
2026-03-23 00:17:00,3124.86,3125.16,3124.8,3125.04,81,22.0
2026-03-23 00:18:00,3125.04,3125.06,3125.03,3125.05,25,24.5
2026-03-23 00:19:00,3125.05,3125.18,3125.01,3125.12,34,26.3
2026-03-23 00:20:00,3125.12,3125.29,3124.8,3124.95,56,22.8
2026-03-23 00:21:00,3124.95,3124.98,3124.93,3124.98,79,28.1
2026-03-23 00:22:00,3124.98,3125.22,3124.85,3125.2,127,28.6
2026-03-23 00:23:00,3125.2,3125.32,3125.18,3125.29,60,22.5
2026-03-23 00:24:00,3125.29,3125.58,3125.1,3125.54,94,28.7
2026-03-23 00:25:00,3125.54,3126.06,3125.49,3125.68,87,29.7
2026-03-23 00:26:00,3125.68,3125.79,3125.66,3125.77,125,28.6
2026-03-23 00:27:00,3125.77,3126.14,3125.46,3125.73,116,24.2
2026-03-23 00:28:00,3125.73,3125.77,3125.68,3125.76,31,21.9
2026-03-23 00:29:00,3125.76,3125.87,3125.53,3125.82,35,25.0
2026-03-23 00:30:00,3125.82,3126.29,3125.74,3126.11,99,20.7
2026-03-23 00:31:00,3126.11,3126.33,3126.06,3126.25,144,26.2
2026-03-23 00:32:00,3126.25,3126.26,3126.2,3126.22,143,26.7
2026-03-23 00:33:00,3126.22,3126.48,3126.11,3126.34,34,20.7
2026-03-23 00:34:00,3126.34,3126.46,3126.33,3126.45,81,25.1
2026-03-23 00:35:00,3126.45,3126.75,3126.35,3126.56,26,27.0
2026-03-23 00:36:00,3126.56,3126.73,3126.33,3126.64,120,25.5
2026-03-23 00:37:00,3126.64,3126.72,3126.6,3126.63,106,22.7
2026-03-23 00:38:00,3126.63,3126.65,3126.62,3126.64,120,25.1
2026-03-23 00:39:00,3126.64,3127.12,3126.56,3126.98,79,26.4
2026-03-23 00:40:00,3126.98,3127.22,3126.95,3127.21,95,21.1
2026-03-23 00:41:00,3127.21,3127.27,3127.08,3127.15,135,21.3
2026-03-23 00:42:00,3127.15,3127.19,3126.99,3127.07,149,23.6
2026-03-23 00:43:00,3127.07,3127.38,3126.42,3126.88,128,21.5
2026-03-23 00:44:00,3126.88,3127.16,3126.74,3127.04,119,24.1
2026-03-23 00:45:00,3127.04,3127.41,3126.81,3127.37,134,22.7
2026-03-23 00:46:00,3127.37,3127.77,3127.31,3127.5,109,22.0
2026-03-23 00:47:00,3127.5,3127.73,3127.36,3127.45,107,23.3
2026-03-23 00:48:00,3127.45,3127.57,3127.44,3127.54,99,26.8
2026-03-23 00:49:00,3127.54,3127.56,3127.4,3127.44,65,22.7
2026-03-23 00:50:00,3127.44,3127.7,3127.4,3127.69,91,29.8
2026-03-23 00:51:00,3127.69,3128.13,3127.55,3127.92,71,25.4
2026-03-23 00:52:00,3127.92,3128.15,3127.76,3128.12,89,29.5
2026-03-23 00:53:00,3128.12,3128.15,3128.02,3128.03,78,24.1
2026-03-23 00:54:00,3128.03,3128.1,3127.95,3128.05,63,23.8
2026-03-23 00:55:00,3128.05,3128.13,3127.89,3127.97,81,24.3
2026-03-23 00:56:00,3127.97,3128.25,3127.92,3128.09,109,25.1
2026-03-23 00:57:00,3128.09,3128.31,3127.47,3127.74,53,23.4
2026-03-23 00:58:00,3127.74,3128.4,3127.63,3128.16,138,21.5
2026-03-23 00:59:00,3128.16,3128.42,3128.12,3128.3,108,21.9
2026-03-23 01:00:00,3128.3,3128.58,3128.11,3128.52,114,28.9
